symbol,date,open,high,low,close,volume,amount
159781.SZ,2021-07-05,0.98,0.98,0.954,0.966,1669109422,1613740028
159781.SZ,2021-07-06,0.966,0.967,0.926,0.941,1418005029,1335621132
159781.SZ,2021-07-07,0.933,0.977,0.932,0.972,1330603355,1282218922
159781.SZ,2021-07-08,0.974,0.987,0.973,0.977,1074369944,1052425417
159781.SZ,2021-07-09,0.975,0.975,0.945,0.966,1065513011,1022257486
159781.SZ,2021-07-12,0.971,0.997,0.963,0.992,1130945532,1117508785
159781.SZ,2021-07-13,0.992,1.0,0.975,0.983,1119399572,1101903272
159781.SZ,2021-07-14,0.981,0.994,0.971,0.98,1166805729,1151940839
159781.SZ,2021-07-15,0.976,0.991,0.972,0.991,1094754363,1075555520
159781.SZ,2021-07-16,0.99,0.99,0.959,0.962,1258184726,1225186787
159781.SZ,2021-07-19,0.958,0.974,0.956,0.964,1166306686,1125610813
159781.SZ,2021-07-20,0.957,0.975,0.955,0.968,1212287298,1170451088
159781.SZ,2021-07-21,0.97,0.997,0.968,0.994,1576437735,1552289090
159781.SZ,2021-07-22,0.994,0.999,0.981,0.988,1108795448,1094115044
159781.SZ,2021-07-23,0.986,0.987,0.959,0.965,1228086152,1188047135
159781.SZ,2021-07-26,0.964,0.964,0.906,0.933,1581846838,1477501054
159781.SZ,2021-07-27,0.931,0.95,0.906,0.909,1393731888,1302627766
159781.SZ,2021-07-28,0.91,0.922,0.881,0.916,1331453980,1207947989
159781.SZ,2021-07-29,0.934,0.967,0.931,0.961,1405259585,1334088448
159781.SZ,2021-07-30,0.96,0.973,0.948,0.963,1203761535,1156245607
159781.SZ,2021-08-02,0.961,0.973,0.944,0.967,1170755822,1122419028
159781.SZ,2021-08-03,0.964,0.975,0.953,0.966,1255447527,1209965682
159781.SZ,2021-08-04,0.964,0.984,0.955,0.983,1270240457,1237977590
159781.SZ,2021-08-05,0.98,0.993,0.971,0.983,1127914232,1107621814
159781.SZ,2021-08-06,0.985,0.991,0.964,0.97,1019985867,994920938
159781.SZ,2021-08-09,0.965,0.965,0.946,0.96,1220103262,1165108619
159781.SZ,2021-08-10,0.956,0.965,0.949,0.961,1237615926,1183684104
159781.SZ,2021-08-11,0.957,0.962,0.947,0.949,1035645013,986915146
159781.SZ,2021-08-12,0.948,0.953,0.934,0.936,1301157626,1223202037
159781.SZ,2021-08-13,0.936,0.94,0.914,0.918,1151118920,1064010611
159781.SZ,2021-08-16,0.915,0.918,0.904,0.91,898672620,818273469
159781.SZ,2021-08-17,0.91,0.915,0.882,0.886,1155769069,1036870847
159781.SZ,2021-08-18,0.89,0.896,0.881,0.886,918646639,815159879
159781.SZ,2021-08-19,0.887,0.902,0.885,0.895,1056106497,944126065
159781.SZ,2021-08-20,0.893,0.893,0.859,0.869,1120928981,977425550
159781.SZ,2021-08-23,0.87,0.9,0.868,0.899,1178694524,1048724399
